Keyword,Volume,CPC,KD,Intent,louiebernstein.com Position,louiebernstein.com Traffic,louiebernstein.com URL,jzsalesconsulting.com Position,jzsalesconsulting.com Traffic,jzsalesconsulting.com URL
"fractional sales managers",210,11.029999732971191,0,"informational","",0,"",111,0.4410000145435333,"https://jzsalesconsulting.com/"
"sales enablement consulting",170,16.329999923706055,3,"navigational","",0,"",57,0.3569999933242798,"https://jzsalesconsulting.com/fractional-sales-enablement/"
"consulting sales manager",140,,0,"navigational","",0,"",67,0.2939999997615814,"https://jzsalesconsulting.com/"
"fractional sales inc",140,8.550000190734863,0,"informational","",0,"",19,0.7139999866485596,"https://jzsalesconsulting.com/fractional-sales-enablement/"
"jz enterprise",90,,0,"commercial","",0,"",83,0.1889999955892563,"https://jzsalesconsulting.com/"
"fractional sales consultant",90,7.650000095367432,0,"informational","",0,"",16,0.8190000057220459,"https://jzsalesconsulting.com/"
"fractional vp",40,12.449999809265137,0,"informational","",0,"",47,0.08399999886751175,"https://jzsalesconsulting.com/fractional-vp-of-sales/"
"fractional revops",30,4.690000057220459,0,"transactional","",0,"",38,0.06300000101327896,"https://jzsalesconsulting.com/faq-fractional-revenue-operations-revops-manager/"
"fractional vp of sales jobs",20,1.3799999952316284,0,"informational","",0,"",15,0.15000000596046448,"https://jzsalesconsulting.com/fractional-vp-of-sales/"
"what is a fractional vp",20,,0,"informational","",0,"",50,0.041999999433755875,"https://jzsalesconsulting.com/fractional-vp-of-sales/"
